5,0,0,5,-1,-1,1,0,16,0,4,4,8,0,0
5,0,0,5,-1,0,1,0,16,0,4,4,8,0,0
5,0,0,5,-1,1,1,0,16,0,4,4,8,0,0
5,0,0,5,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,0,5,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,0,5,0,1,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,0,5,1,-1,1,0,16,0,4,4,8,0,0
5,0,0,5,1,0,1,0,16,0,4,4,8,0,0
5,0,0,5,1,1,1,0,16,0,4,4,8,0,0
5,0,1,5,-1,-1,1,0,16,16,0,0,0,0,0
5,0,1,5,-1,0,1,0,16,0,4,4,8,0,0
5,0,1,5,-1,1,1,0,16,8,2,2,4,0,0
5,0,1,5,0,-1,1,0,0,0,0,0,0,0,0
5,0,1,5,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,1,5,0,1,1,0,0,0,0,0,0,0,0
5,0,1,5,1,-1,1,0,16,8,2,2,4,0,0
5,0,1,5,1,0,1,0,16,0,4,4,8,0,0
5,0,1,5,1,1,1,0,16,16,0,0,0,0,0
5,0,2,5,-1,-1,1,0,16,8,2,2,4,0,0
5,0,2,5,-1,0,1,0,16,0,4,4,8,0,0
5,0,2,5,-1,1,1,0,16,8,2,2,4,0,0
5,0,2,5,0,-1,1,0,1,0,0,0,0,1,0
5,0,2,5,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,2,5,0,1,1,0,1,0,0,0,0,1,0
5,0,2,5,1,-1,1,0,16,8,2,2,4,0,0
5,0,2,5,1,0,1,0,16,0,4,4,8,0,0
5,0,2,5,1,1,1,0,16,8,2,2,4,0,0
5,0,3,5,-1,-1,1,0,16,16,0,0,0,0,0
5,0,3,5,-1,0,1,0,16,0,4,4,8,0,0
5,0,3,5,-1,1,1,0,16,0,4,4,8,0,0
5,0,3,5,0,-1,1,0,1,0,0,0,0,1,0
5,0,3,5,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
5,0,3,5,0,1,1,0,1,0,0,0,0,1,0
5,0,3,5,1,-1,1,0,16,0,4,4,8,0,0
5,0,3,5,1,0,1,0,16,0,4,4,8,0,0
5,0,3,5,1,1,1,0,16,16,0,0,0,0,0
5,1,0,5,-1,-1,1,0,16,16,0,0,0,0,0
5,1,0,5,-1,0,1,0,16,0,4,4,8,0,0
5,1,0,5,-1,1,1,0,16,8,2,2,4,0,0
5,1,0,5,0,-1,1,0,0,0,0,0,0,0,0
5,1,0,5,0,0,1,0,-1,-1,-1,-1,-1,-1,-1
5,1,0,5,0,1,1,0,0,0,0,0,0,0,0
5,1,0,5,1,-1,1,0,16,8,2,2,4,0,0
5,1,0,5,1,0,1,0,16,0,4,4,8,0,0
5,1,0,5,1,1,1,0,16,16,0,0,0,0,0
5,1,1,5,-1,-1,1,0,16,2,0,1,1,0,12
5,1,1,5,-1,0,1,0,16,0,4,4,8,0,0
